1	0	0.00688033	0.0135592	0.0198438	0.025558	0.0296552	0.0319686	0.0333573	0.0337777	0.0332279	0.0306861	0.0262649	0.0211134	0.0147722	0.00748871	0
2	0	-0.0122091	-0.022977	-0.0310821	-0.0357168	-0.0323214	-0.0214328	-0.00816399	0.00614443	0.0200053	0.0294354	0.0330041	0.0332281	0.0265696	0.0139887	0
4	0	-0.0145026	-0.0245368	-0.0271452	-0.0219282	-0.00649261	0.0125811	0.0270778	0.03299	0.0291262	0.0104859	-0.0156041	-0.0378433	-0.0407557	-0.0232786	0
6	0	-0.0274727	-0.0394754	-0.0290337	-0.00136801	0.0267556	0.0344518	0.0240129	-0.000456464	-0.0274547	-0.03253	-0.0112928	0.0151718	0.0276196	0.0178571	0
7	0	-0.0305835	-0.0338365	-0.00557564	0.032962	0.0341933	-0.00318656	-0.0320529	-0.0301803	0.00070766	0.0307998	0.0253737	-0.000675855	-0.0243235	-0.0197087	0
9	0	-0.0231028	-0.0167514	0.0119622	0.0297839	0.000424375	-0.0290164	-0.0190763	0.0171284	0.0369553	-0.00191055	-0.0376536	-0.0245582	0.0288451	0.0363684	0
3	0	0.00203746	0.00730267	0.0145448	0.0225762	0.0296248	0.0344639	0.0375067	0.0383975	0.037088	0.0317524	0.0231823	0.0140722	0.00641988	0.00180675	0
5	0	-0.00487837	-0.0161141	-0.0288943	-0.0392522	-0.0383488	-0.0254075	-0.00830604	0.0103604	0.0275809	0.0355303	0.032596	0.0251873	0.0141068	0.0042782	0
8	0	-0.00662877	-0.019087	-0.0278531	-0.0276522	-0.0112703	0.0119885	0.0280541	0.030556	0.0190544	-0.00630676	-0.0314014	-0.0460931	-0.0359014	-0.0120983	0
10	0	-0.0128499	-0.031971	-0.0353241	-0.0171246	0.0151355	0.0325461	0.0267664	0.000716198	-0.0297288	-0.0312573	-0.000942085	0.0306058	0.0344941	0.0129242	0
